Task_ID,Topo_Level,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
901,1,Writing to local files is done non-atomically,Bug fixing / Maintenance,Critical,2.6,A-198,0.0,13.2,1
1135,1,Need to properly tear down tests in various cases,Testing & Verification,Blocker,3.0,A-291,0.0,13.2,0
1216,1,unable to restart 3 node cluster,Bug fixing / Maintenance,Blocker,3.0,A-171,0.0,13.2,1
1634,1,Zookeeper (standalone) failed to start up,Bug fixing / Maintenance,Blocker,3.0,A-73,0.0,13.2,1
343,1,FLENewEpochTest failed on nightly builds.,Testing & Verification,Blocker,3.0,A-291,0.0,13.2,0
362,1,electionAlg should default to FLE (3) - regression,Bug fixing / Maintenance,Blocker,3.0,A-171,0.0,13.2,1
484,1,"Event is not processed when the watcher is set to watch ""/"" if chrooted",Bug fixing / Maintenance,Blocker,3.0,A-159,0.0,13.2,1
739,1,incorrect stat output,Bug fixing / Maintenance,Blocker,3.0,A-198,0.0,13.2,1
742,1,ObserverTest.testObserver fails at particular point after several runs of ant junt.run -Dtestcase=ObserverTest,Testing & Verification,Blocker,3.0,A-73,0.0,13.2,0
847,1,Missing data after restarting+expanding a cluster,Bug fixing / Maintenance,Blocker,3.0,A-411,0.0,13.2,1
2136,1,Flaky test:CommitProcessorMetricsTest.testConcurrentRequestProcessingInCommitProcessor,Testing & Verification,Minor,4.0,A-291,0.0,13.2,0
1090,1,Ephemeral nodes not present in one of the members of the ensemble,Bug fixing / Maintenance,Major,4.4,A-98,0.0,13.2,1
1522,1,"When provide path for ""dataDir"" with trailing space, it is taking correct path (by trucating space) for snapshot but creating temporary file with some junk folder name for zookeeper_server.pid",Bug fixing / Maintenance,Major,4.4,A-276,0.0,13.2,1
1927,1,Apache Zookeeper 3.6.2 - slf4j 1.7.25 has security vulnerability CVE-2018-8088,Feature / Improvement Implementation,Major,4.4,A-171,0.0,13.2,0
1987,1,Build failing on branch-3.4 with Java 8,Bug fixing / Maintenance,Major,4.4,A-198,0.0,13.2,1
2404,1,Avoid reverse DNS lookup for hostname verification when hostnames are provided in the connection url,Bug fixing / Maintenance,Major,4.4,A-73,0.0,13.2,1
