from_issue_key,to_issue_key,link_type,raw_link_type,direction
OFBIZ-11007,OFBIZ-11326,is broken by,Regression,inward
OFBIZ-11319,OFBIZ-11306,relates to,Reference,outward
OFBIZ-11306,OFBIZ-11317,Dependent,Dependent,inward
OFBIZ-7012,OFBIZ-11316,is broken by,Regression,inward
OFBIZ-11315,OFBIZ-11314,depends upon,dependent,outward
OFBIZ-11315,OFBIZ-11314,is depended upon by,dependent,inward
OFBIZ-11312,OFBIZ-11417,duplicates,Duplicate,outward
OFBIZ-11306,OFBIZ-11317,Dependent,Dependent,outward
OFBIZ-11306,OFBIZ-10427,duplicates,Duplicate,outward
OFBIZ-11319,OFBIZ-11306,is related to,Reference,inward
OFBIZ-11585,OFBIZ-11306,is related to,Reference,inward
OFBIZ-11306,OFBIZ-11593,breaks,Regression,outward
OFBIZ-11306,OFBIZ-11586,breaks,Regression,outward
OFBIZ-11306,OFBIZ-11329,depends upon,dependent,outward
OFBIZ-11306,OFBIZ-11425,depends upon,dependent,outward
OFBIZ-11195,OFBIZ-11306,is depended upon by,dependent,inward
OFBIZ-11197,OFBIZ-11306,is depended upon by,dependent,inward
OFBIZ-10476,OFBIZ-11292,is superceded by,Supercedes,inward
OFBIZ-11285,COMDEV-335,depends upon,dependent,outward
OFBIZ-11285,INFRA-19563,depends upon,dependent,outward
OFBIZ-11285,INFRA-19526,depends upon,dependent,outward
OFBIZ-11272,OFBIZ-11276,is depended upon by,dependent,inward
OFBIZ-10368,OFBIZ-11275,is caused by,Problem/Incident,inward
OFBIZ-11272,OFBIZ-11276,depends upon,dependent,outward
OFBIZ-11268,INFRA-19550,depends upon,dependent,outward
OFBIZ-11268,INFRA-19505,depends upon,dependent,outward
OFBIZ-11268,INFRA-20221,depends upon,dependent,outward
OFBIZ-11268,INFRA-19443,depends upon,dependent,outward
OFBIZ-11268,INFRA-19471,depends upon,dependent,outward
OFBIZ-11268,INFRA-19511,depends upon,dependent,outward
OFBIZ-11268,INFRA-19524,depends upon,dependent,outward
OFBIZ-11268,INFRA-19557,depends upon,dependent,outward
OFBIZ-11266,OFBIZ-11265,blocks,Blocker,outward
