issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
OFBIZ-10121,Incorrect Party profile view redirection in SFA due to missing roleType,,,,,,,,0,0,4164,1,1
OFBIZ-10122,"Not able to add the requirement,broken screen with the error message in workeffort component",,,,,,,,0,0,12071,1,1
OFBIZ-10123,Tomcat SSO in Cluster,,,,,,,,0,0,522,1,1
OFBIZ-10124,Key conflict error for new Telecom Contact Mech record after ContactMech import,,,,,,,,0,0,6213,1,1
OFBIZ-10125,Error exporting Product entities,,,,,,,,0,0,8150,1,1
OFBIZ-10126,Update markup of One Page checkout page and improve markup on Shopping Cart according to standard markup given by Bootstrap 4.,,,,,,,,0,0,4143,1,1
OFBIZ-10127,Improvement in UI of register page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,9732,1,1
OFBIZ-10128,"Clean images, among them logos, in all locations used",,,,,,,,0,0,5423,1,1
OFBIZ-10129,Order Process Broken - Due to Missing Service Defination,,,,,,,,0,0,516,1,1
OFBIZ-1013,Keyword search does not work beyond 2nd result page,,,,,,,,0,0,7423,1,1
OFBIZ-10130,Update Lucene and Solr to 7.2,,,,,,,,0,0,468,1,1
OFBIZ-10131,ID should be the abbreviation for identity in English,,,,,,,,0,0,5122,1,1
OFBIZ-10132,Make the number of initially visible applications in main menu a properties,,,,,,,,0,0,2846,1,1
OFBIZ-10133,streaming large content cause out of memory exception.,,,,,,,,0,0,8592,1,1
OFBIZ-10134,[Refactoring] Package org.apache.ofbiz.product.category,,,,,,,,0,0,11833,1,1
OFBIZ-10135,Update markup of OrderHistory page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,5361,1,1
OFBIZ-10136,Update markup of Quick Checkout Page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,3342,1,1
OFBIZ-10137,Order : Communication between customer and product store,,,,,,,,0,0,1807,1,1
OFBIZ-10138,[Refactoring] Package org.apache.ofbiz.product.category.ftl,,,,,,,,0,0,6091,1,1
OFBIZ-10139,New centralized API getProdCatalogCategoryId() in CategoryWorker.java,,,,,,,,0,0,1835,1,1
OFBIZ-1014,Cybersource package needs to be upgrade to support the New API Field: Request Token,,,,,,,,0,0,9552,1,1
OFBIZ-10140,"Please use SSL (https) for KEYS, sigs, hashes",,,,,,,,0,0,1785,1,1
OFBIZ-10141,Add a VERSION file in root dir,,,,,,,,0,0,759,1,1
OFBIZ-10142,Trailing fraction are not entertained by formatCurrency  method of UtilFormatOut,,,,,,,,0,0,8850,1,1
OFBIZ-10143,Hardcoded String in PaymentGatewayServices#processCaptureResult,,,,,,,,0,0,244,1,1
OFBIZ-10144,DataEvents.java API,,,,,,,,0,0,5705,1,1
OFBIZ-10145,Remove the Gradle wrapper from our release packages and add a step to our build notes,,,,,,,,0,0,8730,1,1
OFBIZ-10146,Removing of loadBestSellingCategory and all related methods in CategoryServices.xml,,,,,,,,0,0,2051,1,1
OFBIZ-10147,Buildbot script refactoring to put in a R17 branch build,,,,,,,,0,0,11314,1,1
OFBIZ-10148,Display the included vat amount on order item detail instead of 0,,,,,,,,0,0,11575,1,1
OFBIZ-10149,"ProductPriceRuleCondition ""is Product"" don't check the virtual product",,,,,,,,0,0,11203,1,1
OFBIZ-1015,How to setup the Epson JavaPOS 1.9.x ?!,,,,,,,,0,0,7758,1,1
OFBIZ-10150,supplierProductId Should Have Consistent Types Across Entities.,,,,,,,,0,0,12204,1,1
OFBIZ-10151,Check which variables created from properties should be final,,,,,,,,0,0,4916,1,1
OFBIZ-10152,Use properties for hard-coded date/time strings ,,,,,,,,0,0,1357,1,1
OFBIZ-10153,Shipping Label printing not working ,,,,,,,,0,0,3658,1,1
OFBIZ-10154,"pagination errors in ""KeywordSearch.ftl"" and ""ProductSearchSession.java""",,,,,,,,0,0,10499,1,1
OFBIZ-10155,Error on ordermgr component for locale ar - Arabic ,,,,,,,,0,0,9154,1,1
OFBIZ-10156,Fix issues related to images paths on demos,,,,,,,,0,0,6171,1,1
OFBIZ-10157,Performance optimization for entities in xml data export,,,,,,,,0,0,10655,1,1
OFBIZ-10158,"Find Employee Position does not allow ""don't care"" for boolean fields",,,,,,,,0,0,6079,1,1
OFBIZ-10159,Correcting findOne() in OfbizDslDescriptorForEclipse.dsld,,,,,,,,0,0,5358,1,1
OFBIZ-1016,Tunnel-Exceptions simplification,,,,,,,,0,0,7892,1,1
OFBIZ-10160,Update markup of various product page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,4452,1,1
OFBIZ-10161,Update markup of qucik add page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,9200,1,1
OFBIZ-10162,Update markup of advanced seach page page according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,10300,1,1
OFBIZ-10163,Update markup of quick reorder section according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,9452,1,1
OFBIZ-10164,Splitter Widget,,,,,,,,0,0,5701,1,1
OFBIZ-10165,Review and refactor implementation of select multiple,,,,,,,,0,0,4609,1,1
OFBIZ-10166,Update Solr/lucene to 7.2.1,,,,,,,,0,0,10414,1,1
OFBIZ-10167,Fix the HttpServletRequestWrapper in ContextFilter.doFilter(),,,,,,,,0,0,10242,1,1
OFBIZ-10168,Allow shutdown in Gradle without building the project,,,,,,,,0,0,2322,1,1
OFBIZ-10169,Update markup of Last Products section according to standard markup given by Bootstrap v4.0.0,,,,,,,,0,0,2878,1,1
OFBIZ-1017,User/Thread availability improvement,,,,,,,,0,0,1641,1,1
