Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
2320,1,1,WebTools Labels - DE Translation of latest trunk version,Build & Release Engineering,Trivial,1.6,A-153,0.0,1.6,0
2328,1,1,Clicking Help shows error in the popup window,Bug fixing / Maintenance,Trivial,1.6,A-299,0.0,1.6,1
2331,1,1,The positioning mechanism of the new lookups is only working with the bizznesstime theme ,Other,Trivial,1.6,A-402,0.0,1.6,0
2339,1,1,"Allow to open a layered lookup while on another layere lookup (not ""inside"" the layered lookup but on the page which called the current lookup open)",Other,Trivial,1.6,A-73,0.0,1.6,0
2362,1,1,Field which do not show any info or cannot be edited needs to be hidden,Bug fixing / Maintenance,Trivial,1.6,A-251,0.0,1.6,1
2376,1,1,Tomahawk Formatting Problem,Bug fixing / Maintenance,Trivial,1.6,A-320,0.0,1.6,1
2378,1,1,Rename temporal DAYOFWEEK_01 to DAYOFWEEK_SUN,Code Refactoring & Cleanup,Trivial,1.6,A-235,0.0,1.6,1
2382,1,1,Color of links in retrieved list for Tomahawk theme,Other,Trivial,1.6,A-157,0.0,1.6,1
2390,1,1,"make ""ant create-component"" MainAppBar menu selection more intuitive",Feature / Improvement Implementation,Trivial,1.6,A-227,0.0,1.6,0
2396,1,1,eBay Store - Block Items Out of Stock Page,Bug fixing / Maintenance,Trivial,1.6,A-17,0.0,1.6,1
2400,1,1,New Link for Manufacturing Quick Start Guide News Item,Documentation,Trivial,1.6,A-113,0.0,1.6,0
2407,1,1,Add an alternate to the lookup img,Other,Trivial,1.6,A-414,0.0,1.6,0
2408,1,1,unable to intialize tenant Database,Bug fixing / Maintenance,Trivial,1.6,A-374,0.0,1.6,1
2430,1,1,XHTML validation errors (framework/widget) Tree widget and Date time field rendering issues,Bug fixing / Maintenance,Trivial,1.6,A-208,0.0,1.6,1
2431,1,1,typo mistakes in tempExprMacros.ftl,Bug fixing / Maintenance,Trivial,1.6,A-305,0.0,1.6,1
245,1,1,Improves the debug log to show the details of which field it was complaining about,Feature / Improvement Implementation,Trivial,1.6,A-339,0.0,1.6,1
2475,1,1,Fields rendered with renderDisplayField needs a css style,Bug fixing / Maintenance,Trivial,1.6,A-92,0.0,1.6,1
