issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
ZOOKEEPER-1181,Fix problems with Kerberos TGT renewal,,,,,,,,0,0,428,1,1
ZOOKEEPER-1182,Make findbugs usable in Eclipse,,,,,,,,0,0,2231,1,1
ZOOKEEPER-1183,Enhance LogFormatter to output additional detail from transaction log,,,,,,,,0,0,569,1,1
ZOOKEEPER-1184,"jute generated files are not being cleaned up via ""ant clean""",,,,,,,,0,0,437,1,1
ZOOKEEPER-1185,Send AuthFailed event to client if SASL authentication fails,,,,,,,,0,0,770,1,1
ZOOKEEPER-1186,ZooKeeper client seems to hang quietly on OutOfMemoryError,,,,,,,,0,0,3384,1,1
ZOOKEEPER-1187,remove jdk dependency from the rpm spec,,,,,,,,0,0,1510,1,1
ZOOKEEPER-1188,client should detect a broken-network itself,,,,,,,,0,0,1330,1,1
ZOOKEEPER-1189,For an invalid snapshot file(less than 10bytes size) RandomAccessFile stream is leaking.,,,,,,,,0,0,3970,1,1
ZOOKEEPER-119,"Reserve "".zookeeper"" node for server use.",,,,,,,,0,0,2984,1,1
ZOOKEEPER-1190,ant package is not including many of the bin scripts in the package (zkServer.sh for example),,,,,,,,0,0,3989,1,1
ZOOKEEPER-1191,Synchronization issue - wait not in guarded block,,,,,,,,0,0,3184,1,1
ZOOKEEPER-1192,Leader.waitForEpochAck() checks waitingForNewEpoch instead of checking electionFinished,,,,,,,,0,0,2965,1,1
ZOOKEEPER-1193,Remove upgrade code,,,,,,,,0,0,1242,1,1
ZOOKEEPER-1194,Two possible race conditions during leader establishment,,,,,,,,0,0,4142,1,1
ZOOKEEPER-1195,SASL authorizedID being incorrectly set: should use getHostName() rather than getServiceName(),,,,,,,,0,0,1754,1,1
ZOOKEEPER-1196,improve Kerberos name parsing and canonicalization testing,,,,,,,,0,0,1844,1,1
ZOOKEEPER-1197,Incorrect socket handling of 4 letter words for NIO,,,,,,,,0,0,3389,1,1
ZOOKEEPER-1198,Refactorings and Cleanups,,,,,,,,0,0,801,1,1
ZOOKEEPER-1199,Make OpCode an enum,,,,,,,,0,0,3046,1,1
ZOOKEEPER-12,getChildren doesn't return a list of paths,,,,,,,,0,0,344,1,1
ZOOKEEPER-120,NIOServerCnxn needs to improve shutdown() handling,,,,,,,,0,0,1880,1,1
ZOOKEEPER-1200,Remove obsolete DataTreeBuilder,,,,,,,,0,0,2572,1,1
