from_issue_key,to_issue_key,link_type,raw_link_type,direction
ZOOKEEPER-1411,ZOOKEEPER-1540,is broken by,Regression,inward
ZOOKEEPER-2787,ZOOKEEPER-1535,is cloned by,Cloners,inward
ZOOKEEPER-1535,ZOOKEEPER-1897,relates to,Reference,outward
ZOOKEEPER-1535,HBASE-10903,breaks,Regression,outward
ZOOKEEPER-1524,ZOOKEEPER-1503,relates to,Reference,outward
ZOOKEEPER-1657,ZOOKEEPER-1512,Is contained by,Container,inward
ZOOKEEPER-1512,ZOOKEEPER-1510,relates to,Reference,outward
ZOOKEEPER-1623,ZOOKEEPER-1512,is related to,Reference,inward
ZOOKEEPER-1512,ZOOKEEPER-1510,is related to,Reference,inward
ZOOKEEPER-1623,ZOOKEEPER-1510,is related to,Reference,inward
ZOOKEEPER-1996,ZOOKEEPER-1509,is duplicated by,Duplicate,inward
ZOOKEEPER-1506,ZOOKEEPER-2319,contains,Container,outward
ZOOKEEPER-1506,ZOOKEEPER-1846,duplicates,Duplicate,outward
ZOOKEEPER-2982,ZOOKEEPER-1506,is related to,Reference,inward
ZOOKEEPER-2184,ZOOKEEPER-1506,is related to,Reference,inward
ZOOKEEPER-1504,ZOOKEEPER-1347,contains,Container,outward
ZOOKEEPER-1504,ZOOKEEPER-1620,relates to,Reference,outward
ZOOKEEPER-1524,ZOOKEEPER-1503,is related to,Reference,inward
ZOOKEEPER-1497,ZOOKEEPER-1503,is related to,Reference,inward
ZOOKEEPER-1497,ZOOKEEPER-1373,relates to,Reference,outward
ZOOKEEPER-1497,ZOOKEEPER-1503,relates to,Reference,outward
ZOOKEEPER-1455,ZOOKEEPER-1497,is related to,Reference,inward
ZOOKEEPER-1495,ZOOKEEPER-1381,relates to,Reference,outward
HBASE-5843,ZOOKEEPER-1495,is related to,Reference,inward
ZOOKEEPER-2318,ZOOKEEPER-1485,is duplicated by,Duplicate,inward
ZOOKEEPER-1483,ZOOKEEPER-1404,duplicates,Duplicate,outward
ZOOKEEPER-1477,ZOOKEEPER-1550,relates to,Reference,outward
GIRAPH-344,ZOOKEEPER-1477,is related to,Reference,inward
ZOOKEEPER-1661,ZOOKEEPER-1476,is related to,Reference,inward
ZOOKEEPER-1954,ZOOKEEPER-1476,is related to,Reference,inward
ZOOKEEPER-1475,HBASE-6099,relates to,Reference,outward
ZOOKEEPER-1474,ZOOKEEPER-1236,relates to,Reference,outward
ZOOKEEPER-1565,ZOOKEEPER-1474,is depended upon by,dependent,inward
ZOOKEEPER-1570,ZOOKEEPER-1474,is depended upon by,dependent,inward
ZOOKEEPER-1571,ZOOKEEPER-1474,is depended upon by,dependent,inward
ZOOKEEPER-1564,ZOOKEEPER-1474,is depended upon by,dependent,inward
HBASE-6130,ZOOKEEPER-1469,is related to,Reference,inward
ZOOKEEPER-1469,ZOOKEEPER-938,depends upon,dependent,outward
ZOOKEEPER-1467,HBASE-1697,blocks,Blocker,outward
ZOOKEEPER-1467,ZOOKEEPER-1373,relates to,Reference,outward
ZOOKEEPER-1467,ZOOKEEPER-1420,relates to,Reference,outward
ZOOKEEPER-2139,ZOOKEEPER-1467,is related to,Reference,inward
HBASE-4791,ZOOKEEPER-1467,is related to,Reference,inward
ZOOKEEPER-2433,ZOOKEEPER-1467,is related to,Reference,inward
ZOOKEEPER-1467,ZOOKEEPER-2257,requires,Required,outward
ZOOKEEPER-1552,ZOOKEEPER-1462,Is contained by,Container,inward
ZOOKEEPER-1461,ZOOKEEPER-1305,duplicates,Duplicate,outward
ZOOKEEPER-1460,ZOOKEEPER-2452,relates to,Reference,outward
ZOOKEEPER-1455,ZOOKEEPER-1456,is related to,Reference,inward
ZOOKEEPER-1455,ZOOKEEPER-1456,relates to,Reference,outward
ZOOKEEPER-1455,ZOOKEEPER-1437,relates to,Reference,outward
ZOOKEEPER-1455,ZOOKEEPER-1497,relates to,Reference,outward
ZOOKEEPER-1455,HADOOP-8315,relates to,Reference,outward
ZOOKEEPER-1381,ZOOKEEPER-1455,is related to,Reference,inward
ZOOKEEPER-1764,ZOOKEEPER-1455,is depended upon by,dependent,inward
ZOOKEEPER-1777,ZOOKEEPER-1449,is related to,Reference,inward
ZOOKEEPER-1441,ZOOKEEPER-2135,relates to,Reference,outward
ZOOKEEPER-1455,ZOOKEEPER-1437,is related to,Reference,inward
ZOOKEEPER-1561,ZOOKEEPER-1437,is related to,Reference,inward
HBASE-5780,ZOOKEEPER-1437,is related to,Reference,inward
HBASE-7771,ZOOKEEPER-1437,is related to,Reference,inward
ZOOKEEPER-938,ZOOKEEPER-1437,is related to,Reference,inward
ZOOKEEPER-1547,ZOOKEEPER-1437,is related to,Reference,inward
HADOOP-8315,ZOOKEEPER-1437,is related to,Reference,inward
ZOOKEEPER-1437,ZOOKEEPER-1764,breaks,Regression,outward
HADOOP-8149,ZOOKEEPER-1435,is related to,Reference,inward
INFRA-4565,ZOOKEEPER-1430,is blocked by,Blocker,inward
ZOOKEEPER-1686,ZOOKEEPER-1430,is related to,Reference,inward
ZOOKEEPER-1424,ZOOKEEPER-2052,relates to,Reference,outward
ZOOKEEPER-1422,ZOOKEEPER-938,relates to,Reference,outward
ZOOKEEPER-1422,HBASE-4791,relates to,Reference,outward
ZOOKEEPER-938,ZOOKEEPER-1420,is related to,Reference,inward
ZOOKEEPER-1467,ZOOKEEPER-1420,is related to,Reference,inward
ZOOKEEPER-1412,ZOOKEEPER-1417,is related to,Reference,inward
ZOOKEEPER-1416,ZOOKEEPER-3611,relates to,Reference,outward
ZOOKEEPER-1413,ZOOKEEPER-876,contains,Container,outward
ZOOKEEPER-1777,ZOOKEEPER-1413,is required by,Required,inward
ZOOKEEPER-1709,ZOOKEEPER-1413,is depended upon by,dependent,inward
ZOOKEEPER-1710,ZOOKEEPER-1413,is depended upon by,dependent,inward
ZOOKEEPER-1412,ZOOKEEPER-1417,relates to,Reference,outward
ZOOKEEPER-1411,ZOOKEEPER-1540,breaks,Regression,outward
