Task_ID,Topo_Level,Batch_Index,Summary,Task_Tag,Priority,Duration_Hours,Assigned_To,Start_Hour,End_Hour,Skill_Match
1512,1,2,"When user adds hierarchical queues to the cluster, mapred queue -list returns NULL Pointer Exception",Bug fixing / Maintenance,Major,2.2,A-239,21.8,24.0,1
1513,1,2,MR-279: Completed container exit state needs to be enhanced to differentiate between container aborts/failures and actual application process exit codes,Bug fixing / Maintenance,Major,2.2,A-1662,21.8,24.0,1
1515,1,2,Eclipse Plugin not work on Eclipse Helios,Bug fixing / Maintenance,Major,2.2,A-1239,21.8,24.0,1
1523,1,2,Add a consistent method for getting the job configuration's XML within the AppMaster and the JobHistory,Feature / Improvement Implementation,Major,2.2,A-8374,21.8,24.0,0
1525,1,2,Make mapreduce use same version of avro as HBase,Bug fixing / Maintenance,Major,2.2,A-8378,21.8,24.0,0
1526,1,2,"TestMRJobs, TestMRJobsWithHistoryService, TestMROldApiJobs fail",Testing & Verification,Major,2.2,A-938,21.8,24.0,1
153,1,2,Extensible ConnManager factory API,Design & API Evolution,Major,2.2,A-997,21.8,24.0,1
1531,1,2,"Fix test-patch to run tests via ""mvn clean install test""",Testing & Verification,Major,2.2,A-8487,21.8,24.0,0
1533,1,2,"Maintain consistency in naming appIDs, jobIDs and attemptIDs",Bug fixing / Maintenance,Major,2.2,A-891,21.8,24.0,1
1534,1,2,YARN Protobuf RPC Failures in RM,Bug fixing / Maintenance,Major,2.2,A-1083,21.8,24.0,1
154,1,2,Rumen: a tool to extract job characterization data from job tracker logs,Feature / Improvement Implementation,Major,2.2,A-6952,21.8,24.0,1
1545,1,2,app master configuration web UI link under the Job menu opens up application menu,Bug fixing / Maintenance,Major,2.2,A-880,21.8,24.0,1
1546,1,2,NodeManager doesn't recognize kill -9 of AM container,Bug fixing / Maintenance,Major,2.2,A-1722,21.8,24.0,1
1548,1,2,"re-enable faulty TaskTracker storage without restarting TT, when appropriate",Feature / Improvement Implementation,Major,2.2,A-8470,21.8,24.0,0
1550,1,2,Change the name format for hadoop core and vaidya jar to be hadoop-{core/vaidya}-{version}.jar in vaidya.sh,Bug fixing / Maintenance,Major,2.2,A-1125,21.8,24.0,1
1552,1,2,Fix / remove failing tests from MrV1,Testing & Verification,Major,2.2,A-1280,21.8,24.0,1
1554,1,2,Clover 2.4.3 breaks build for 0.22 branch,Bug fixing / Maintenance,Major,2.2,A-959,21.8,24.0,1
1555,1,2,"Change MR AM to use ApplicationAttemptId rather than <applicationId, startCount> everywhere",Feature / Improvement Implementation,Major,2.2,A-8367,21.8,24.0,1
1557,1,2,fairscheduler ivy including wrong version for hdfs,Bug fixing / Maintenance,Major,2.2,A-8481,21.8,24.0,0
1558,1,2,Add a good way to control the number of map/reduce tasks per node,Project / General Task,Major,2.2,A-8400,21.8,24.0,0
156,1,2,Improve TestMRKeyFieldBasedComparator to test encoded byte array,Testing & Verification,Major,2.2,A-8261,21.8,24.0,0
1560,1,2,distcp with an hftp destination url fails if the destination directory does not exist,Bug fixing / Maintenance,Major,2.2,A-1119,21.8,24.0,1
1561,1,2,NodeManager should fail fast with wrong configuration or permissions for LinuxContainerExecutor,Other,Major,2.2,A-911,21.8,24.0,1
1564,1,2,NM<->RM shared secrets should be rolled every so often. ,Other,Major,2.2,A-5651,21.8,24.0,1
1568,1,2,NPE exception in the TestClass org.apache.hadoop.yarn.server.resourcemanager.Application,Testing & Verification,Major,2.2,A-1296,21.8,24.0,1
1569,1,2,TestRPC.testUnknownCall() is failing,Testing & Verification,Major,2.2,A-5239,21.8,24.0,1
157,1,2,JobConf will not be deleted from the logs folder if job retires from finalizeJob(),Bug fixing / Maintenance,Major,2.2,A-8286,21.8,24.0,0
1570,1,2,Calling hadoop cli inside mapreduce job leads to errors,Bug fixing / Maintenance,Major,2.2,A-8462,21.8,24.0,0
1575,1,2,Backport Gridmix and Rumen features from trunk to Hadoop 0.20 security branch,Feature / Improvement Implementation,Major,2.2,A-1303,21.8,24.0,1
1578,1,2,-libjars with streaming does not create symlink in the cwd of task,Bug fixing / Maintenance,Major,2.2,A-865,21.8,24.0,1
158,1,2,TestNodeRefresh might not work as expected,Testing & Verification,Major,2.2,A-8260,21.8,24.0,1
1584,1,2,Running a set of methods in a Single Test Class,Testing & Verification,Major,2.2,A-1278,21.8,24.0,1
1589,1,2,SlivePartitioner generates negative partitions,Bug fixing / Maintenance,Major,2.2,A-366,21.8,24.0,1
1591,1,2,Complete aggregation of user-logs spit out by containers onto DFS,Bug fixing / Maintenance,Major,2.2,A-1134,21.8,24.0,1
1593,1,2,Fix NM UI to serve logs from DFS once application finishes,Bug fixing / Maintenance,Major,2.2,A-8371,21.8,24.0,1
1595,1,2,Handle leaf queues with the same name properly,Feature / Improvement Implementation,Major,2.2,A-8477,21.8,24.0,1
1597,1,2,add a test to verify that buildDTAuthority works for cases with no authority.,Testing & Verification,Major,2.2,A-8314,21.8,24.0,0
1598,1,2,Allow TT to run children with an elevated oom_adj score,Feature / Improvement Implementation,Major,2.2,A-870,21.8,24.0,1
1599,1,2,TestFileOutputCommitter.testFailAbort() is failing on trunk on Jenkins,Testing & Verification,Major,2.2,A-1257,21.8,24.0,0
16,1,2,Reducer inputs should be spilled to HDFS rather than local disk.,Feature / Improvement Implementation,Major,2.2,A-919,21.8,24.0,1
1600,1,2,"Validate the Jobs Output Specification as the first statement in JobSubmitter.submitJobInternal(Job, Cluster) method",Build & Release Engineering,Major,2.2,A-8466,21.8,24.0,0
1601,1,2,Allow TestMRCLI to be run against a cluster,Testing & Verification,Major,2.2,A-848,21.8,24.0,1
1602,1,2,Rumen TraceBuilder is skipping analyzing 0.20 history files,Bug fixing / Maintenance,Major,2.2,A-8279,21.8,24.0,0
1605,1,2,Merge -r 1177530:1177531 from trunk to branch-0.23 to fix MAPREDUCE-2996 broke ant test compilation,Testing & Verification,Major,2.2,A-8382,21.8,24.0,1
161,1,2,"Enhance -list-blacklisted-trackers to display host name, blacklisted reason and blacklist report.",Feature / Improvement Implementation,Major,2.2,A-1223,21.8,24.0,1
1610,1,2,Make Rumen use job history api instead of relying on current history file name format,Bug fixing / Maintenance,Major,2.2,A-8287,21.8,24.0,1
1612,1,2,Create a new MiniMRCluster equivalent which only provides client APIs cross MR1 and MR2,Design & API Evolution,Major,2.2,A-758,21.8,24.0,1
1613,1,2,normalize nodemanager native code compilation with common/hdfs native,Feature / Improvement Implementation,Major,2.2,A-210,21.8,24.0,1
1618,1,2,Incorrect exit code for hadoop-mapreduce-test tests when exception thrown,Testing & Verification,Major,2.2,A-8196,21.8,24.0,1
162,1,2,to remove mapreduce dependency on commons-cli2,Build & Release Engineering,Major,2.2,A-940,21.8,24.0,1
1622,1,2,Improve handling of fetch failures when a tasktracker is not responding on HTTP,Feature / Improvement Implementation,Major,2.2,A-8318,21.8,24.0,1
1626,1,2,Lots of errors in logs when daemon startup fails,Bug fixing / Maintenance,Major,2.2,A-1098,21.8,24.0,1
1627,1,2,Add link decoration back to MR2's CSS,Feature / Improvement Implementation,Major,2.2,A-1261,21.8,24.0,1
163,1,2,Configuration information should generate dump in a standard format.,Feature / Improvement Implementation,Major,2.2,A-995,21.8,24.0,1
1630,1,2,"""mapred mradmin"" command is broken in mrv2",Bug fixing / Maintenance,Major,2.2,A-782,21.8,24.0,1
1631,1,2,TestLinuxContainerExecutorWithMocks fails on Mac OSX,Testing & Verification,Major,2.2,A-921,21.8,24.0,0
1632,1,2,TestMRClientService failing on building clean checkout of branch 0.23,Testing & Verification,Major,2.2,A-8464,21.8,24.0,1
1636,1,2,mvn site:site fails on MapReduce,Bug fixing / Maintenance,Major,2.2,A-136,21.8,24.0,1
1639,1,2,Jenkins reports 160 FindBugs warnings,Bug fixing / Maintenance,Major,2.2,A-1096,21.8,24.0,1
164,1,2,findbugs and javac warnings on trunk is non-zero,Bug fixing / Maintenance,Major,2.2,A-1349,21.8,24.0,1
1640,1,2,"Fetch failures if used ephemeral port for property ""mapreduce.shuffle.port"". ",Bug fixing / Maintenance,Major,2.2,A-8404,21.8,24.0,1
1647,1,2,Improve Application Master And Job History UI Security,Feature / Improvement Implementation,Major,2.2,A-960,21.8,24.0,0
1654,1,2,(Rumen)TraceBuilder throws IllegalArgumentException,Bug fixing / Maintenance,Major,2.2,A-720,21.8,24.0,1
1655,1,2,Trunk compilation broken with bad interaction from MAPREDUCE-3070 and MAPREDUCE-3239.,Bug fixing / Maintenance,Major,2.2,A-5924,21.8,24.0,1
1656,1,2,Invalid tracking URL for streaming jobs,Bug fixing / Maintenance,Major,2.2,A-614,21.8,24.0,1
1658,1,2,Make Task extensible to support modifications of Task or even alternate programming paradigms,Feature / Improvement Implementation,Major,2.2,A-8358,21.8,24.0,0
166,1,2,LineRecordReader can report non-zero progress while it is processing a compressed stream,Bug fixing / Maintenance,Major,2.2,A-8360,21.8,24.0,1
1666,1,2,"MR2 needs a counter analogous to ""slot seconds""",Feature / Improvement Implementation,Major,2.2,A-894,21.8,24.0,1
