from_issue_key,to_issue_key,link_type,raw_link_type,direction
MAPREDUCE-557,HADOOP-2797,depends upon,dependent,outward
HADOOP-5701,MAPREDUCE-551,is duplicated by,Duplicate,inward
MAPREDUCE-312,MAPREDUCE-548,is related to,Reference,inward
HADOOP-3444,MAPREDUCE-534,is part of,Incorporates,inward
YARN-569,MAPREDUCE-533,is duplicated by,Duplicate,inward
MAPREDUCE-4468,MAPREDUCE-533,is related to,Reference,inward
MAPREDUCE-524,MAPREDUCE-531,is blocked by,Blocker,inward
HADOOP-4830,MAPREDUCE-531,is related to,Reference,inward
MAPREDUCE-524,MAPREDUCE-525,is blocked by,Blocker,inward
HADOOP-4830,MAPREDUCE-525,is related to,Reference,inward
MAPREDUCE-524,MAPREDUCE-525,blocks,Blocker,outward
MAPREDUCE-524,MAPREDUCE-531,blocks,Blocker,outward
HADOOP-4830,MAPREDUCE-524,is blocked by,Blocker,inward
HADOOP-4830,MAPREDUCE-524,is related to,Reference,inward
MAPREDUCE-694,MAPREDUCE-522,is blocked by,Blocker,inward
MAPREDUCE-519,HADOOP-4856,incorporates,Incorporates,outward
MAPREDUCE-519,HADOOP-4931,incorporates,Incorporates,outward
HADOOP-4830,MAPREDUCE-518,is related to,Reference,inward
HADOOP-5884,MAPREDUCE-517,is blocked by,Blocker,inward
MAPREDUCE-3472,MAPREDUCE-517,is cloned by,Cloners,inward
HADOOP-5884,MAPREDUCE-516,is blocked by,Blocker,inward
HADOOP-5881,MAPREDUCE-516,is related to,Reference,inward
MAPREDUCE-3789,MAPREDUCE-516,is related to,Reference,inward
MAPREDUCE-4001,MAPREDUCE-516,is related to,Reference,inward
HADOOP-3445,MAPREDUCE-514,is blocked by,Blocker,inward
HADOOP-4178,MAPREDUCE-514,is related to,Reference,inward
MAPREDUCE-506,MAPREDUCE-2818,relates to,Reference,outward
MAPREDUCE-495,HADOOP-3890,relates to,Reference,outward
MAPREDUCE-491,HADOOP-6153,duplicates,Duplicate,outward
MAPREDUCE-491,HADOOP-3020,depends upon,dependent,outward
MAPREDUCE-1683,MAPREDUCE-488,is part of,Incorporates,inward
MAPREDUCE-1396,MAPREDUCE-488,is part of,Incorporates,inward
MAPREDUCE-177,MAPREDUCE-488,is depended upon by,dependent,inward
MAPREDUCE-487,MAPREDUCE-716,is a clone of,Cloners,outward
MAPREDUCE-485,MAPREDUCE-984,duplicates,Duplicate,outward
MAPREDUCE-481,HADOOP-3462,relates to,Reference,outward
HADOOP-3750,MAPREDUCE-480,is related to,Reference,inward
