issue_key,summary,group_key,group_domain,group_release,group_worktype,group_priority,group_has_pr,dev_has_activity,indegree,outdegree,component_id,is_root,is_leaf
MAPREDUCE-1109,ConcurrentModificationException in jobtracker.jsp,,,,,,,,0,0,5541,1,1
MAPREDUCE-111,JobTracker.getSystemDir throws NPE if it is called during intialization,,,,,,,,0,0,6295,1,1
MAPREDUCE-1110,"Currently QueueManager API's return JobQueueInfo , instead it should return QueueInfo, similarly wher ever  we are using JobQueueInfo as view , we should use QueueInfo",,,,,,,,4,0,3507,0,1
MAPREDUCE-1111,JT Jetty UI not working if we run mumak.sh off packaged distribution directory.,,,,,,,,2,0,1380,0,1
MAPREDUCE-1112,Fix CombineFileInputFormat for hadoop 0.20,,,,,,,,0,0,2289,1,1
MAPREDUCE-1113,mumak compiles aspects even if skip.contrib is true,,,,,,,,0,0,2722,1,1
MAPREDUCE-1114,Speed up ivy resolution in builds with clever caching,,,,,,,,0,0,1188,1,1
MAPREDUCE-1115,Support hierarchical pools of directories to use for intermediate MapReduce data files (for SSD drives),,,,,,,,0,0,2323,1,1
MAPREDUCE-1116,Task continues to get localized even though it is marked for killing already,,,,,,,,0,0,2177,1,1
MAPREDUCE-1117,ClusterMetrics return metrics for tasks instead of slots',,,,,,,,0,0,2935,1,1
MAPREDUCE-1118,Capacity Scheduler scheduling information is hard to read / should be tabular format,,,,,,,,0,0,6746,1,1
MAPREDUCE-1119,"When tasks fail to report status, show tasks's stack dump before killing",,,,,,,,0,0,1137,1,1
MAPREDUCE-112,Reduce Input Records and Reduce Output Records counters are not being set when using the new Mapreduce reducer API,,,,,,,,0,0,6102,1,1
MAPREDUCE-1120,"JobClient poll intervals should be job configurations, not cluster configurations",,,,,,,,0,0,1114,1,1
MAPREDUCE-1121,Hadoop MapReduce - Site Logo,,,,,,,,0,0,5779,1,1
MAPREDUCE-1122,streaming with custom input format does not support the new API,,,,,,,,2,0,278,0,1
MAPREDUCE-1124,TestGridmixSubmission fails sometimes,,,,,,,,0,0,3682,1,1
MAPREDUCE-1125,SerialUtils.cc: deserializeFloat is out of sync with SerialUtils.hh,,,,,,,,0,0,3876,1,1
MAPREDUCE-1126,shuffle should use serialization to get comparator,,,,,,,,0,2,3090,1,0
MAPREDUCE-1127,distcp should timeout later during S3-based transfers,,,,,,,,0,0,1655,1,1
MAPREDUCE-1128,MRUnit Allows Iteration Twice,,,,,,,,0,0,3708,1,1
MAPREDUCE-1129,Assign multiple Map and Reduce tasks in Fairscheduler,,,,,,,,0,0,4413,1,1
MAPREDUCE-113,[mapred] Job submission to an invalid queue should fail.,,,,,,,,0,0,420,1,1
MAPREDUCE-1130,Provide a way to open and read a side file using an existing InputFormat,,,,,,,,0,0,4801,1,1
MAPREDUCE-1131,Using profilers other than hprof can cause JobClient to report job failure,,,,,,,,0,0,4480,1,1
MAPREDUCE-1132,TestGridmixSubmission failing intermittently,,,,,,,,0,0,1262,1,1
MAPREDUCE-1133,Eclipse .classpath template has outdated jar files and is missing some new ones.,,,,,,,,0,0,3939,1,1
MAPREDUCE-1134,The API around HistoryEvent has inelegances,,,,,,,,0,0,5964,1,1
MAPREDUCE-1135,Making JobHistory log format easily extensible in the future,,,,,,,,2,0,767,0,1
MAPREDUCE-1136,ConcurrentModificationException when tasktracker updates task status to jobtracker,,,,,,,,0,0,4463,1,1
MAPREDUCE-1137,Mumak should have a unit test to ensure jetty UI is running properly,,,,,,,,0,0,6232,1,1
MAPREDUCE-1138,Erroneous output folder handling in streaming testcases,,,,,,,,0,0,6629,1,1
