issue_key,event_time,from_status,to_status
MAPREDUCE-7212,2019-06-05T02:29:03.042000+00:00,Open,Patch Available
MAPREDUCE-7210,2019-05-31T13:13:57.475000+00:00,Open,Patch Available
MAPREDUCE-7210,2019-06-05T01:46:53.488000+00:00,Patch Available,Resolved
MAPREDUCE-7208,2019-10-25T20:30:54.642000+00:00,Open,Patch Available
MAPREDUCE-7208,2019-11-05T21:07:24.352000+00:00,Patch Available,Resolved
MAPREDUCE-7206,2020-07-23T13:41:17.381000+00:00,Open,Resolved
MAPREDUCE-7205,2019-05-16T05:54:09.229000+00:00,Open,Patch Available
MAPREDUCE-7205,2019-05-22T06:48:57.507000+00:00,Patch Available,Resolved
MAPREDUCE-7203,2021-07-07T21:57:54.601000+00:00,Open,Resolved
MAPREDUCE-7203,2021-07-07T21:58:25.872000+00:00,Resolved,Reopened
MAPREDUCE-7202,2019-05-08T08:03:29.302000+00:00,Open,Patch Available
MAPREDUCE-7201,2019-05-09T14:06:00.005000+00:00,Open,Patch Available
MAPREDUCE-7200,2019-04-24T01:40:39.525000+00:00,Open,Patch Available
MAPREDUCE-7200,2019-04-25T02:19:29.044000+00:00,Patch Available,Resolved
MAPREDUCE-7199,2019-04-26T06:06:59.082000+00:00,Open,Patch Available
MAPREDUCE-7199,2020-04-18T14:24:01.862000+00:00,Patch Available,Resolved
MAPREDUCE-7198,2019-04-23T08:27:44.933000+00:00,Open,Patch Available
MAPREDUCE-7198,2019-05-23T01:22:49.192000+00:00,Patch Available,Resolved
MAPREDUCE-7193,2019-03-14T20:25:54.134000+00:00,Open,Patch Available
MAPREDUCE-7193,2019-03-14T20:49:07.432000+00:00,Patch Available,Open
MAPREDUCE-7193,2019-03-14T20:50:13.549000+00:00,Open,Patch Available
MAPREDUCE-7192,2019-03-08T09:36:51.946000+00:00,Open,Patch Available
MAPREDUCE-7192,2019-03-13T09:41:45.917000+00:00,Patch Available,Resolved
MAPREDUCE-7191,2019-03-06T09:42:15.636000+00:00,Open,Patch Available
MAPREDUCE-7191,2019-03-11T08:58:34.850000+00:00,Patch Available,Resolved
