issue_key,jira_id,task_id
MAPREDUCE-988,12435812,298
MAPREDUCE-990,12435856,299
MAPREDUCE-1165,12435884,300
MAPREDUCE-995,12435931,301
MAPREDUCE-996,12435933,302
MAPREDUCE-999,12435996,303
MAPREDUCE-1000,12436003,304
MAPREDUCE-1002,12436020,305
MAPREDUCE-1003,12436054,306
MAPREDUCE-1007,12436092,307
MAPREDUCE-1009,12436100,308
MAPREDUCE-1163,12436106,309
MAPREDUCE-1010,12436111,310
MAPREDUCE-1011,12436114,311
MAPREDUCE-1012,12436122,312
MAPREDUCE-1014,12436217,313
MAPREDUCE-1016,12436251,314
MAPREDUCE-1017,12436262,315
MAPREDUCE-1022,12436287,316
MAPREDUCE-1023,12436288,317
MAPREDUCE-1024,12436289,318
MAPREDUCE-1026,12436355,319
MAPREDUCE-1028,12436400,320
MAPREDUCE-1029,12436402,321
MAPREDUCE-1858,12466729,321
MAPREDUCE-1030,12436404,322
MAPREDUCE-1032,12436483,323
MAPREDUCE-1035,12436495,324
MAPREDUCE-1036,12436528,325
MAPREDUCE-1037,12436532,326
MAPREDUCE-3151,12526145,326
MAPREDUCE-1038,12436560,327
MAPREDUCE-1039,12436582,328
MAPREDUCE-1040,12436583,329
MAPREDUCE-1041,12436627,330
MAPREDUCE-1046,12436724,331
MAPREDUCE-1047,12436765,332
MAPREDUCE-1048,12436901,333
MAPREDUCE-1050,12437037,334
MAPREDUCE-1051,12437067,335
MAPREDUCE-1053,12437232,336
MAPREDUCE-1055,12437242,337
MAPREDUCE-1057,12437268,338
MAPREDUCE-1059,12437328,339
MAPREDUCE-1061,12437347,340
MAPREDUCE-1063,12437355,341
MAPREDUCE-6151,12744470,341
MAPREDUCE-1068,12437378,342
MAPREDUCE-1069,12437441,343
MAPREDUCE-1070,12437465,344
MAPREDUCE-1071,12437467,345
MAPREDUCE-1072,12437470,346
MAPREDUCE-1075,12437488,347
MAPREDUCE-1076,12437491,348
MAPREDUCE-1077,12437555,349
MAPREDUCE-1078,12437558,350
MAPREDUCE-1080,12437571,351
MAPREDUCE-1081,12437573,352
MAPREDUCE-1082,12437579,353
MAPREDUCE-1083,12437581,354
MAPREDUCE-1084,12437639,355
MAPREDUCE-1086,12437685,356
MAPREDUCE-1088,12437730,357
MAPREDUCE-1089,12437775,358
MAPREDUCE-1090,12437877,359
MAPREDUCE-1091,12437888,360
MAPREDUCE-4483,12600213,360
MAPREDUCE-1093,12437914,361
MAPREDUCE-1095,12437927,362
MAPREDUCE-1097,12437930,363
MAPREDUCE-1099,12437936,364
MAPREDUCE-1101,12437954,365
MAPREDUCE-1103,12438008,366
MAPREDUCE-1104,12438015,367
MAPREDUCE-1105,12438026,368
MAPREDUCE-1107,12438046,369
MAPREDUCE-1111,12438120,370
MAPREDUCE-1112,12438160,371
MAPREDUCE-1116,12438181,372
MAPREDUCE-1117,12438200,373
MAPREDUCE-1119,12438350,374
MAPREDUCE-1124,12438521,375
MAPREDUCE-1412,12446626,375
MAPREDUCE-1586,12458617,375
MAPREDUCE-1338,12438613,376
MAPREDUCE-1128,12438697,377
MAPREDUCE-1129,12438760,378
MAPREDUCE-1130,12438761,379
MAPREDUCE-1131,12438762,380
MAPREDUCE-1132,12438797,381
MAPREDUCE-3836,12541700,381
MAPREDUCE-1133,12438842,382
MAPREDUCE-1140,12438900,383
MAPREDUCE-1141,12438902,384
MAPREDUCE-1143,12438906,385
MAPREDUCE-3892,12543655,385
MAPREDUCE-1145,12438944,386
MAPREDUCE-1170,12439471,386
MAPREDUCE-1146,12438945,387
MAPREDUCE-1147,12438958,388
MAPREDUCE-1148,12438969,389
MAPREDUCE-1149,12438970,389
MAPREDUCE-1152,12438979,390
MAPREDUCE-1153,12438984,391
MAPREDUCE-1155,12439096,392
MAPREDUCE-1156,12439122,393
MAPREDUCE-1158,12439156,394
MAPREDUCE-1160,12439254,395
MAPREDUCE-1161,12439340,396
MAPREDUCE-1167,12439448,397
MAPREDUCE-1201,12440310,397
MAPREDUCE-1168,12439457,398
MAPREDUCE-1169,12439459,399
MAPREDUCE-1171,12439477,400
MAPREDUCE-1172,12439583,401
MAPREDUCE-1174,12439593,402
MAPREDUCE-1177,12439644,403
MAPREDUCE-1178,12439708,404
MAPREDUCE-1179,12439743,405
MAPREDUCE-1256,12442055,405
MAPREDUCE-1182,12439744,406
MAPREDUCE-1181,12439777,407
MAPREDUCE-1185,12439918,408
MAPREDUCE-1186,12439920,409
MAPREDUCE-1188,12439966,410
MAPREDUCE-1189,12439977,411
MAPREDUCE-1190,12439992,412
MAPREDUCE-1191,12439995,413
MAPREDUCE-1193,12439997,414
MAPREDUCE-1195,12440055,415
MAPREDUCE-1196,12440150,416
MAPREDUCE-1198,12440214,417
MAPREDUCE-1199,12440271,418
