from_issue_key,to_issue_key,link_type,raw_link_type,direction,from_summary,to_summary,same_group,same_component,same_release
MAPREDUCE-2897,MAPREDUCE-2889,blocks,Blocker,outward,Docs for core protocols in yarn-api - ClientRMProtocol,Add docs for writing new application frameworks,0,0,0
MAPREDUCE-2891,MAPREDUCE-2889,blocks,Blocker,outward,Docs for core protocols in yarn-api - AMRMProtocol,Add docs for writing new application frameworks,0,0,0
MAPREDUCE-2891,MAPREDUCE-2889,is blocked by,Blocker,inward,Docs for core protocols in yarn-api - AMRMProtocol,Add docs for writing new application frameworks,0,0,0
MAPREDUCE-2897,MAPREDUCE-2889,is blocked by,Blocker,inward,Docs for core protocols in yarn-api - ClientRMProtocol,Add docs for writing new application frameworks,0,0,0
MAPREDUCE-2898,MAPREDUCE-2889,is blocked by,Blocker,inward,Docs for core protocols in yarn-api - ContainerManager,Add docs for writing new application frameworks,0,0,0
MAPREDUCE-2880,MAPREDUCE-2736,blocks,Blocker,outward,Fix classpath construction for MRv2,Remove unused contrib components dependent on MR1,0,0,0
MAPREDUCE-2864,MAPREDUCE-2876,is blocked by,Blocker,inward,Renaming of configuration property names in yarn,ContainerAllocationExpirer appears to use the incorrect configs,0,0,0
MAPREDUCE-2868,MAPREDUCE-2838,blocks,Blocker,outward,ant build broken in hadoop-mapreduce dir,to fix mapreduce builds to use the new hadoop common test jars,0,0,0
MAPREDUCE-2848,MAPREDUCE-2868,is blocked by,Blocker,inward,Upgrade avro to 1.5.2,ant build broken in hadoop-mapreduce dir,0,0,0
MAPREDUCE-2864,MAPREDUCE-2876,blocks,Blocker,outward,Renaming of configuration property names in yarn,ContainerAllocationExpirer appears to use the incorrect configs,0,0,0
MAPREDUCE-3336,MAPREDUCE-2863,is blocked by,Blocker,inward,com.google.inject.internal.Preconditions not public api - shouldn't be using it,Support web-services for RM & NM,0,0,0
MAPREDUCE-3342,MAPREDUCE-2863,is blocked by,Blocker,inward,JobHistoryServer doesn't show job queue,Support web-services for RM & NM,0,0,0
MAPREDUCE-2848,MAPREDUCE-2868,blocks,Blocker,outward,Upgrade avro to 1.5.2,ant build broken in hadoop-mapreduce dir,0,0,0
MAPREDUCE-2868,MAPREDUCE-2838,is blocked by,Blocker,inward,ant build broken in hadoop-mapreduce dir,to fix mapreduce builds to use the new hadoop common test jars,0,0,0
