assignee_code,Skill_Tag,issue_count,skill_level
A-10104,Feature / Improvement Implementation,2,1
A-10105,Project / General Task,1,1
A-10106,Bug fixing / Maintenance,93,5
A-10106,Feature / Improvement Implementation,82,5
A-10106,Build & Release Engineering,6,3
A-10106,Code Refactoring & Cleanup,4,2
A-10106,Design & API Evolution,4,2
A-10106,Testing & Verification,4,2
A-10106,Documentation,3,2
A-10106,Other,2,1
A-10107,Feature / Improvement Implementation,1,1
A-10108,Bug fixing / Maintenance,8,3
A-10108,Feature / Improvement Implementation,3,2
A-10108,Design & API Evolution,2,1
A-10108,Documentation,2,1
A-10108,Project / General Task,2,1
A-10108,Testing & Verification,1,1
A-10109,Bug fixing / Maintenance,171,5
A-10109,Feature / Improvement Implementation,20,4
A-10109,Testing & Verification,4,2
A-10109,Design & API Evolution,3,2
A-10109,Project / General Task,2,1
A-10109,Build & Release Engineering,1,1
A-10109,Documentation,1,1
A-1011,Other,2,1
A-1011,Testing & Verification,2,1
A-1011,Bug fixing / Maintenance,1,1
A-1011,Feature / Improvement Implementation,1,1
A-10110,Bug fixing / Maintenance,30,5
A-10110,Feature / Improvement Implementation,5,2
A-10110,Build & Release Engineering,4,2
A-10110,Design & API Evolution,1,1
A-10111,Bug fixing / Maintenance,8,3
A-10111,Build & Release Engineering,1,1
A-10111,Documentation,1,1
A-10112,Bug fixing / Maintenance,9,3
A-10112,Project / General Task,1,1
A-10112,Testing & Verification,1,1
A-10113,Bug fixing / Maintenance,12,4
A-10113,Feature / Improvement Implementation,6,3
A-10113,Design & API Evolution,1,1
A-10113,Documentation,1,1
A-10114,Feature / Improvement Implementation,1,1
A-10115,Bug fixing / Maintenance,5,2
A-10115,Documentation,1,1
A-10116,Bug fixing / Maintenance,5,2
A-10116,Feature / Improvement Implementation,4,2
A-10117,Other,25,5
A-10117,Project / General Task,23,5
A-10117,Testing & Verification,15,4
A-10117,Bug fixing / Maintenance,12,4
A-10117,Feature / Improvement Implementation,5,2
A-10117,Build & Release Engineering,3,2
A-10117,Documentation,1,1
A-10118,Bug fixing / Maintenance,52,5
A-10118,Feature / Improvement Implementation,48,5
A-10118,Project / General Task,47,5
A-10118,Testing & Verification,41,5
A-10118,Other,25,5
A-10118,Design & API Evolution,11,4
A-10118,Build & Release Engineering,10,3
A-10118,Documentation,1,1
A-10119,Project / General Task,50,5
A-10119,Bug fixing / Maintenance,34,5
A-10119,Feature / Improvement Implementation,27,5
A-10119,Testing & Verification,25,5
A-10119,Other,18,4
A-10119,Build & Release Engineering,2,1
A-10119,Design & API Evolution,2,1
A-10119,Documentation,1,1
A-1012,Bug fixing / Maintenance,188,5
A-1012,Testing & Verification,38,5
A-1012,Other,25,5
A-1012,Feature / Improvement Implementation,19,4
A-1012,Design & API Evolution,6,3
A-1012,Documentation,2,1
A-1012,Build & Release Engineering,1,1
A-10120,Testing & Verification,31,5
A-10120,Feature / Improvement Implementation,15,4
A-10120,Bug fixing / Maintenance,12,4
A-10120,Other,10,3
A-10120,Project / General Task,3,2
A-10120,Performance Optimization,2,1
A-10120,Build & Release Engineering,1,1
A-10120,Design & API Evolution,1,1
A-10121,Feature / Improvement Implementation,11,4
A-10121,Bug fixing / Maintenance,7,3
A-10121,Project / General Task,2,1
A-10121,Design & API Evolution,1,1
A-10122,Bug fixing / Maintenance,9,3
A-10122,Feature / Improvement Implementation,6,3
A-10122,Testing & Verification,6,3
A-10122,Other,4,2
A-10122,Code Refactoring & Cleanup,1,1
A-10122,Project / General Task,1,1
A-10123,Project / General Task,22,5
A-10123,Other,18,4
A-10123,Bug fixing / Maintenance,8,3
A-10123,Testing & Verification,7,3
A-10123,Design & API Evolution,5,2
A-10123,Feature / Improvement Implementation,5,2
A-10123,Build & Release Engineering,2,1
A-10123,Code Refactoring & Cleanup,1,1
A-10123,Documentation,1,1
A-10124,Project / General Task,13,4
A-10124,Bug fixing / Maintenance,12,4
A-10124,Feature / Improvement Implementation,7,3
A-10124,Other,5,2
A-10124,Code Refactoring & Cleanup,2,1
A-10124,Design & API Evolution,1,1
A-10124,Testing & Verification,1,1
A-10125,Bug fixing / Maintenance,1,1
A-10125,Feature / Improvement Implementation,1,1
A-10125,Project / General Task,1,1
A-10126,Feature / Improvement Implementation,30,5
A-10126,Bug fixing / Maintenance,5,2
A-10126,Project / General Task,3,2
A-10126,Build & Release Engineering,2,1
A-10126,Other,1,1
A-10126,Performance Optimization,1,1
A-10126,Testing & Verification,1,1
A-10127,Bug fixing / Maintenance,2,1
A-10127,Testing & Verification,1,1
A-10128,Other,35,5
A-10128,Documentation,9,3
A-10128,Feature / Improvement Implementation,2,1
A-10128,Bug fixing / Maintenance,1,1
A-10129,Bug fixing / Maintenance,3,2
A-10129,Feature / Improvement Implementation,3,2
A-10129,Project / General Task,1,1
A-1013,Bug fixing / Maintenance,21,5
A-1013,Testing & Verification,11,4
A-1013,Feature / Improvement Implementation,10,3
A-1013,Other,9,3
A-1013,Documentation,3,2
A-1013,Build & Release Engineering,1,1
A-1013,Code Refactoring & Cleanup,1,1
A-1013,Design & API Evolution,1,1
A-10130,Other,12,4
A-10130,Feature / Improvement Implementation,9,3
A-10130,Bug fixing / Maintenance,8,3
A-10130,Project / General Task,6,3
A-10130,Build & Release Engineering,3,2
A-10130,Design & API Evolution,2,1
A-10130,Testing & Verification,2,1
A-10130,Documentation,1,1
A-10130,Performance Optimization,1,1
A-10131,Feature / Improvement Implementation,11,4
A-10131,Bug fixing / Maintenance,4,2
A-10131,Testing & Verification,3,2
A-10131,Other,1,1
A-10131,Project / General Task,1,1
A-10132,Bug fixing / Maintenance,5,2
A-10133,Bug fixing / Maintenance,3,2
A-10133,Feature / Improvement Implementation,3,2
A-10133,Project / General Task,1,1
A-10134,Bug fixing / Maintenance,4,2
A-10134,Feature / Improvement Implementation,3,2
A-10134,Other,3,2
A-10134,Build & Release Engineering,2,1
A-10134,Design & API Evolution,1,1
A-10134,Project / General Task,1,1
A-10135,Feature / Improvement Implementation,4,2
A-10136,Bug fixing / Maintenance,20,4
A-10136,Project / General Task,3,2
A-10136,Other,2,1
A-10136,Build & Release Engineering,1,1
A-10136,Feature / Improvement Implementation,1,1
A-10137,Feature / Improvement Implementation,10,3
A-10137,Project / General Task,9,3
A-10137,Other,5,2
A-10137,Testing & Verification,4,2
A-10137,Bug fixing / Maintenance,3,2
A-10137,Design & API Evolution,2,1
A-10137,Build & Release Engineering,1,1
A-10137,Performance Optimization,1,1
A-10138,Project / General Task,17,4
A-10138,Testing & Verification,17,4
A-10138,Bug fixing / Maintenance,13,4
A-10138,Other,12,4
A-10138,Feature / Improvement Implementation,11,4
A-10138,Design & API Evolution,2,1
A-10138,Build & Release Engineering,1,1
A-10138,Performance Optimization,1,1
A-10139,Feature / Improvement Implementation,11,4
A-10139,Bug fixing / Maintenance,2,1
A-10139,Build & Release Engineering,1,1
A-10139,Design & API Evolution,1,1
A-10139,Performance Optimization,1,1
A-10139,Project / General Task,1,1
A-1014,Bug fixing / Maintenance,1,1
A-10140,Bug fixing / Maintenance,5,2
A-10140,Feature / Improvement Implementation,1,1
A-10141,Performance Optimization,1,1
A-10142,Feature / Improvement Implementation,23,5
A-10142,Bug fixing / Maintenance,22,5
A-10142,Other,18,4
A-10142,Project / General Task,13,4
A-10142,Testing & Verification,9,3
A-10142,Documentation,4,2
A-10142,Build & Release Engineering,2,1
A-10142,Code Refactoring & Cleanup,2,1
A-10142,Design & API Evolution,2,1
A-10143,Feature / Improvement Implementation,1,1
A-10144,Bug fixing / Maintenance,1,1
A-10145,Bug fixing / Maintenance,2,1
A-10146,Bug fixing / Maintenance,2,1
A-10146,Build & Release Engineering,1,1
A-10146,Project / General Task,1,1
A-10147,Feature / Improvement Implementation,30,5
A-10147,Bug fixing / Maintenance,6,3
A-10147,Testing & Verification,5,2
A-10147,Project / General Task,4,2
A-10147,Documentation,2,1
A-10147,Other,2,1
A-10147,Code Refactoring & Cleanup,1,1
A-10147,Design & API Evolution,1,1
A-10148,Testing & Verification,1,1
A-10149,Feature / Improvement Implementation,11,4
A-10149,Project / General Task,6,3
A-10149,Testing & Verification,3,2
A-10149,Other,2,1
A-10149,Bug fixing / Maintenance,1,1
A-10149,Documentation,1,1
A-1015,Bug fixing / Maintenance,8,3
A-1015,Feature / Improvement Implementation,3,2
A-1015,Other,2,1
A-1015,Testing & Verification,2,1
A-10150,Bug fixing / Maintenance,1,1
A-10151,Feature / Improvement Implementation,1,1
A-10152,Feature / Improvement Implementation,1,1
A-10153,Project / General Task,1,1
A-10154,Feature / Improvement Implementation,6,3
A-10154,Bug fixing / Maintenance,5,2
A-10154,Testing & Verification,2,1
A-10154,Build & Release Engineering,1,1
A-10154,Code Refactoring & Cleanup,1,1
A-10154,Documentation,1,1
A-10154,Other,1,1
A-10155,Project / General Task,1,1
A-10156,Feature / Improvement Implementation,17,4
A-10156,Bug fixing / Maintenance,5,2
A-10156,Other,3,2
A-10156,Design & API Evolution,2,1
A-10156,Testing & Verification,2,1
A-10156,Build & Release Engineering,1,1
A-10156,Performance Optimization,1,1
A-10157,Bug fixing / Maintenance,1,1
A-10157,Design & API Evolution,1,1
A-10157,Feature / Improvement Implementation,1,1
A-10158,Other,10,3
A-10158,Feature / Improvement Implementation,5,2
A-10158,Project / General Task,5,2
A-10158,Testing & Verification,4,2
A-10158,Design & API Evolution,3,2
A-10158,Bug fixing / Maintenance,2,1
A-10158,Build & Release Engineering,2,1
A-10158,Documentation,1,1
A-10159,Bug fixing / Maintenance,1,1
A-1016,Testing & Verification,35,5
A-1016,Feature / Improvement Implementation,2,1
A-10160,Bug fixing / Maintenance,1,1
A-10160,Other,1,1
A-10161,Bug fixing / Maintenance,21,5
A-10161,Project / General Task,16,4
A-10161,Feature / Improvement Implementation,8,3
A-10161,Build & Release Engineering,1,1
A-10161,Design & API Evolution,1,1
A-10161,Documentation,1,1
A-10161,Performance Optimization,1,1
A-10161,Testing & Verification,1,1
A-10162,Bug fixing / Maintenance,7,3
A-10162,Feature / Improvement Implementation,5,2
A-10163,Feature / Improvement Implementation,1,1
A-10163,Project / General Task,1,1
A-10164,Project / General Task,2,1
A-10164,Feature / Improvement Implementation,1,1
A-10164,Testing & Verification,1,1
A-10165,Feature / Improvement Implementation,3,2
A-10165,Bug fixing / Maintenance,2,1
A-10166,Bug fixing / Maintenance,1,1
A-10167,Other,2,1
A-10167,Feature / Improvement Implementation,1,1
A-10168,Bug fixing / Maintenance,1,1
A-10169,Feature / Improvement Implementation,1,1
A-1017,Bug fixing / Maintenance,95,5
A-1017,Other,81,5
A-1017,Testing & Verification,33,5
A-1017,Feature / Improvement Implementation,13,4
A-1017,Build & Release Engineering,3,2
A-1017,Documentation,3,2
A-1017,Code Refactoring & Cleanup,2,1
A-1017,Design & API Evolution,1,1
A-1017,Project / General Task,1,1
A-10170,Bug fixing / Maintenance,3,2
A-10170,Performance Optimization,3,2
A-10170,Project / General Task,3,2
A-10170,Feature / Improvement Implementation,2,1
A-10170,Build & Release Engineering,1,1
A-10171,Other,3,2
A-10171,Testing & Verification,1,1
A-10172,Other,2,1
A-10173,Bug fixing / Maintenance,3,2
A-10174,Feature / Improvement Implementation,1,1
A-10175,Bug fixing / Maintenance,4,2
A-10175,Project / General Task,2,1
A-10175,Feature / Improvement Implementation,1,1
A-10176,Design & API Evolution,1,1
A-10177,Bug fixing / Maintenance,1,1
A-10178,Bug fixing / Maintenance,1,1
A-10178,Testing & Verification,1,1
A-10179,Feature / Improvement Implementation,2,1
A-10179,Project / General Task,1,1
A-1018,Bug fixing / Maintenance,21,5
A-1018,Other,15,4
A-1018,Testing & Verification,11,4
A-1018,Feature / Improvement Implementation,7,3
A-1018,Documentation,2,1
A-1018,Design & API Evolution,1,1
A-10180,Bug fixing / Maintenance,2,1
A-10181,Other,38,5
